Animal	Date	Condition	Notes
AS7	2019/11/21	None	Hab4
AS8	2019/11/21	None	Hab4
AS9	2019/11/21	None	Hab4
AS7	2019/11/22	None	Hab5
AS8	2019/11/23	None	Hab5
AS9	2019/11/22	None	Hab5
AS7	2019/11/23	Saline	Test1
AS8	2019/11/24	Saline	Test1
AS9	2019/11/23	Saline	Test1
AS7	2019/11/24	Saline	Test2
AS8	2019/11/25	Saline	Test2
AS9	2019/11/24	Saline	Test2
AS7	2019/11/26	Nicotine	Test3
AS8	2019/11/27	Nicotine	Test3
AS9	2019/11/26	Nicotine	Test3
AS10	2019/12/13	None	Hab4
AS12	2019/12/13	None	Hab4
AS13	2019/12/13	None	Hab4
AS10	2019/12/14	None	Hab5
AS12	2019/12/14	None	Hab5
AS13	2019/12/14	None	Hab5
AS10	2019/12/15	Saline	Test1
AS12	2019/12/15	Saline	Test1
AS13	2019/12/15	Saline	Test1
AS10	2019/12/16	Saline	Test2
AS12	2019/12/16	Nicotine	Test2
AS13	2019/12/16	Nicotine	Test2
