,preprocess.time_lims,preprocess.bin_width,preprocess.data_transform,preprocess.preprocessor_name,model.states,model.fit,model.samples,model.model_template_name,model.inference_func_name,data.data_dir,data.basename,data.animal_name,data.session_date,data.taste_num,data.region_name,exp.exp_name,exp.model_id,exp.save_path,exp.fit_date
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,0,bla,single_taste_poisson,fd0c0395,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_fd0c0395,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,0,gc,single_taste_poisson,ce6cb029,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_ce6cb029,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,1,bla,single_taste_poisson,c6b7185e,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_c6b7185e,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,1,gc,single_taste_poisson,e6df0278,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_e6df0278,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,2,bla,single_taste_poisson,af2aa19c,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_af2aa19c,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191201_113917,AM18_4Tastes_191201_113917,AM18,113917,2,gc,single_taste_poisson,eef6a4e8,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_eef6a4e8,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,0,bla,single_taste_poisson,854a6b37,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_854a6b37,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,0,gc,single_taste_poisson,4d0a9613,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_4d0a9613,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,1,bla,single_taste_poisson,0448039a,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_0448039a,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,1,gc,single_taste_poisson,21c83c0a,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_21c83c0a,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,2,bla,single_taste_poisson,2b692858,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_2b692858,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191202_090755,AM18_4Tastes_191202_090755,AM18,090755,2,gc,single_taste_poisson,07dfc055,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_07dfc055,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,0,bla,single_taste_poisson,de3b1052,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_de3b1052,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,0,gc,single_taste_poisson,bd06fc93,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_bd06fc93,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,1,bla,single_taste_poisson,a5726c4a,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_a5726c4a,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,1,gc,single_taste_poisson,28cd5180,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_28cd5180,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,2,bla,single_taste_poisson,f1e22ff2,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_f1e22ff2,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM18/AM18_4Tastes_191203_144833,AM18_4Tastes_191203_144833,AM18,144833,2,gc,single_taste_poisson,b5848bf1,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_b5848bf1,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,0,bla,single_taste_poisson,0e8eb925,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_0e8eb925,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,0,gc,single_taste_poisson,d2637963,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_d2637963,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,1,bla,single_taste_poisson,ee3fe085,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_ee3fe085,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,1,gc,single_taste_poisson,8257619d,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_8257619d,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,2,bla,single_taste_poisson,6c605719,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_6c605719,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200807_092703,AM25_4Tastes_200807_092703,AM25,092703,2,gc,single_taste_poisson,ac90c54c,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_ac90c54c,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,0,bla,single_taste_poisson,4272cac5,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_4272cac5,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,0,gc,single_taste_poisson,0be9ba11,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_0be9ba11,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,1,bla,single_taste_poisson,c779acae,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_c779acae,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,1,gc,single_taste_poisson,dbe31f23,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_dbe31f23,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,2,bla,single_taste_poisson,5d9bd8dc,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_5d9bd8dc,11-17-21
0.0,"[2000, 4000]",50,,_single_taste,4,40000,20000,single_taste_poisson,advi_fit,/media/bigdata/Abuzar_Data/bla_gc/AM25/AM25_4Tastes_200806_094914,AM25_4Tastes_200806_094914,AM25,094914,2,gc,single_taste_poisson,9904e14e,/media/bigdata/firing_space_plot/changepoint_mcmc/saved_models/single_taste_poisson/single_taste_poisson_9904e14e,11-17-21
