Time,Poke1,Poke2,Line1,Line2,Line3,Line4
0.07,False,False,False,False,False,False
0.17,False,False,False,False,False,False
0.28,False,False,False,False,False,False
0.38,False,False,False,False,False,False
0.48,False,False,False,False,False,False
0.58,False,False,False,False,False,False
0.68,False,False,False,False,False,False
0.78,False,False,False,False,False,False
0.88,False,False,False,False,False,False
0.98,False,False,False,False,False,False
1.08,False,False,False,False,False,False
1.18,False,False,False,False,False,False
1.28,False,False,False,False,False,False
1.38,False,False,False,False,False,False
1.48,False,False,False,False,False,False
1.58,False,False,False,False,False,False
1.68,False,False,False,False,False,False
1.78,False,False,False,False,False,False
1.88,False,False,False,False,False,False
1.98,False,False,False,False,False,False
2.08,False,False,False,False,False,False
2.18,False,False,False,False,False,False
2.28,False,False,False,False,False,False
2.38,False,False,False,False,False,False
2.48,False,False,False,False,False,False
2.58,False,False,False,False,False,False
2.68,False,False,False,False,False,False
2.78,False,False,False,False,False,False
2.88,False,False,False,False,False,False
2.98,False,False,False,False,False,False
3.08,False,False,False,False,False,False
3.18,False,False,False,False,False,False
3.29,False,False,False,False,False,False
3.39,False,False,False,False,False,False
3.49,False,False,False,False,False,False
3.59,False,False,False,False,False,False
3.69,False,False,False,False,False,False
3.79,False,False,False,False,False,False
3.89,False,False,False,False,False,False
3.99,False,False,False,False,False,False
4.09,False,False,False,False,False,False
4.19,False,False,False,False,False,False
4.29,False,False,False,False,False,False
4.39,False,False,False,False,False,False
4.49,False,False,False,False,False,False
4.59,False,False,False,False,False,False
4.69,False,False,False,False,False,False
4.79,False,False,False,False,False,False
4.89,False,False,False,False,False,False
4.99,False,False,False,False,False,False
5.09,False,False,False,False,False,False
5.19,False,False,False,False,False,False
5.29,False,False,False,False,False,False
5.39,False,False,False,False,False,False
5.49,False,False,False,False,False,False
5.59,False,False,False,False,False,False
5.69,False,False,False,False,False,False
5.79,False,False,False,False,False,False
5.89,False,False,False,False,False,False
5.99,False,False,False,False,False,False
6.09,False,False,False,False,False,False
6.19,False,False,False,False,False,False
6.29,False,False,False,False,False,False
6.39,False,False,False,False,False,False
6.49,False,False,False,False,False,False
6.59,False,False,False,False,False,False
6.69,False,False,False,False,False,False
6.79,False,False,False,False,False,False
6.89,False,False,False,False,False,False
6.99,False,False,False,False,False,False
7.09,False,False,False,False,False,False
7.19,False,False,False,False,False,False
7.29,False,False,False,False,False,False
7.39,False,False,False,False,False,False
7.49,False,False,False,False,False,False
7.6,False,False,False,False,False,False
7.7,False,False,False,False,False,False
7.8,False,False,False,False,False,False
7.9,False,False,False,False,False,False
8.0,False,False,False,False,False,False
8.1,False,False,False,False,False,False
8.2,False,False,False,False,False,False
8.3,False,False,False,False,False,False
8.4,False,False,False,False,False,False
8.5,False,False,False,False,False,False
8.6,False,False,False,False,False,False
8.7,False,False,False,False,False,False
8.8,False,False,False,False,False,False
8.9,False,False,False,False,False,False
9.0,False,False,False,False,False,False
9.1,False,False,False,False,False,False
9.2,False,False,False,False,False,False
9.3,False,False,False,False,False,False
9.4,False,False,False,False,False,False
9.5,False,False,False,False,False,False
9.6,False,False,False,False,False,False
9.7,False,False,False,False,False,False
9.8,False,False,False,False,False,False
9.9,False,False,False,False,False,False
10.0,False,False,False,False,False,False
10.1,False,False,False,False,False,False
10.21,False,False,False,False,False,False
10.31,False,False,False,False,False,False
10.41,False,False,False,False,False,False
10.51,False,False,False,False,False,False
10.61,False,False,False,False,False,False
10.71,False,False,False,False,False,False
10.81,False,False,False,False,False,False
10.91,False,False,False,False,False,False
11.01,False,False,False,False,False,False
11.11,False,False,False,False,False,False
11.21,False,True,False,False,False,False
11.31,False,True,False,False,False,False
11.41,False,True,False,False,False,False
11.51,False,True,False,False,False,False
11.61,False,True,False,False,False,False
11.71,False,True,False,False,False,False
11.82,False,True,False,False,False,False
11.92,False,True,False,False,False,False
12.02,False,True,False,False,False,False
12.12,False,True,False,False,False,False
12.22,False,True,False,False,False,False
12.32,False,True,False,False,False,False
12.42,False,True,False,False,False,False
12.52,False,True,False,False,False,False
12.62,False,True,False,False,False,False
12.72,False,True,False,False,False,False
12.82,False,True,False,False,False,False
12.93,False,True,False,False,False,False
13.03,False,True,False,False,False,False
13.13,False,True,False,False,False,False
13.23,False,True,False,False,False,False
13.33,False,True,False,False,False,False
13.43,False,True,False,False,False,False
13.53,False,True,False,False,False,False
13.63,False,True,False,False,False,False
13.73,False,True,False,False,False,False
13.83,False,True,False,False,False,False
13.93,False,True,False,False,False,False
14.03,False,True,False,False,False,False
14.13,False,True,False,False,False,False
14.23,False,True,False,False,False,False
14.33,False,False,False,False,False,False
14.43,False,False,False,False,False,False
14.53,False,False,False,False,False,False
14.63,False,False,False,False,False,False
14.73,False,False,False,False,False,False
14.83,False,False,False,False,False,False
14.93,False,False,False,False,False,False
15.03,False,False,False,False,False,False
15.13,False,False,False,False,False,False
15.23,False,False,False,False,False,False
15.33,False,False,False,False,False,False
15.43,False,False,False,False,False,False
15.54,False,False,False,False,False,False
15.64,False,False,False,False,False,False
15.74,False,False,False,False,False,False
15.84,False,False,False,False,False,False
15.94,False,False,False,False,False,False
16.04,False,False,False,False,False,False
16.14,False,False,False,False,False,False
16.24,False,False,False,False,False,False
16.34,False,False,False,False,False,False
16.44,False,False,False,False,False,False
16.54,False,False,False,False,False,False
16.64,False,False,False,False,False,False
16.74,False,False,False,False,False,False
16.84,False,False,False,False,False,False
16.94,False,False,False,False,False,False
17.04,False,False,False,False,False,False
17.14,False,False,False,False,False,False
17.24,False,False,False,False,False,False
17.34,False,False,False,False,False,False
17.44,False,False,False,False,False,False
17.54,False,False,False,False,False,False
17.64,False,False,False,False,False,False
17.74,False,False,False,False,False,False
17.84,False,False,False,False,False,False
17.94,False,False,False,False,False,False
18.04,False,False,False,False,False,False
18.14,False,False,False,False,False,False
18.24,False,False,False,False,False,False
18.34,False,False,False,False,False,False
18.44,False,False,False,False,False,False
18.54,False,False,False,False,False,False
18.64,False,False,False,False,False,False
18.74,False,False,False,False,False,False
18.84,False,False,False,False,False,False
18.94,False,False,False,False,False,False
19.04,False,False,False,False,False,False
19.14,False,False,False,False,False,False
19.24,False,False,False,False,False,False
19.34,False,False,False,False,False,False
19.44,False,False,False,False,False,False
19.54,False,False,False,False,False,False
19.64,False,False,False,False,False,False
19.74,False,False,False,False,False,False
19.85,False,False,False,False,False,False
19.95,False,False,False,False,False,False
20.05,False,False,False,False,False,False
20.15,False,False,False,False,False,False
20.25,False,False,False,False,False,False
20.35,False,False,False,False,False,False
20.45,False,False,False,False,False,False
20.55,False,False,False,False,False,False
20.65,False,False,False,False,False,False
20.75,False,False,False,False,False,False
20.85,False,False,False,False,False,False
20.95,False,False,False,False,False,False
21.05,False,False,False,False,False,False
21.15,False,False,False,False,False,False
21.25,False,False,False,False,False,False
21.35,False,False,False,False,False,False
21.45,False,False,False,False,False,False
21.55,False,False,False,False,False,False
21.65,False,False,False,False,False,False
21.75,False,False,False,False,False,False
21.85,False,False,False,False,False,False
21.95,False,False,False,False,False,False
22.05,False,False,False,False,False,False
22.15,False,False,False,False,False,False
22.25,False,False,False,False,False,False
22.35,False,False,False,False,False,False
22.45,False,False,False,False,False,False
22.55,False,False,False,False,False,False
22.65,False,False,False,False,False,False
22.75,False,False,False,False,False,False
22.85,False,False,False,False,False,False
22.96,False,False,False,False,False,False
23.06,False,False,False,False,False,False
23.16,False,False,False,False,False,False
23.26,False,False,False,False,False,False
23.36,False,False,False,False,False,False
23.46,False,False,False,False,False,False
23.56,False,False,False,False,False,False
23.66,False,False,False,False,False,False
23.76,False,False,False,False,False,False
23.86,False,False,False,False,False,False
23.96,False,False,False,False,False,False
24.06,False,False,False,False,False,False
24.16,False,False,False,False,False,False
24.26,False,False,False,False,False,False
24.36,False,False,False,False,False,False
24.46,False,False,False,False,False,False
24.56,False,False,False,False,False,False
24.66,False,False,False,False,False,False
24.76,False,False,False,False,False,False
24.86,False,False,False,False,False,False
24.96,False,False,False,False,False,False
25.06,False,False,False,False,False,False
25.16,False,False,False,False,False,False
25.26,False,False,False,False,False,False
25.36,False,False,False,False,False,False
25.46,False,False,False,False,False,False
25.56,False,False,False,False,False,False
25.66,False,False,False,False,False,False
25.76,False,False,False,False,False,False
25.86,False,False,False,False,False,False
25.96,False,False,False,False,False,False
