Time,Poke1,Poke2,Line1,Line2
0.15,False,False,False,False
0.25,False,False,False,False
0.35,False,False,False,False
0.45,False,False,False,False
0.55,False,False,False,False
0.65,False,False,False,False
0.75,False,False,False,False
0.85,False,False,False,False
0.95,False,False,False,False
1.05,False,False,False,False
1.15,False,False,False,False
1.25,False,False,False,False
1.35,False,False,False,False
1.45,False,False,False,False
1.55,False,False,False,False
1.65,False,False,False,False
1.75,False,False,False,False
1.85,False,False,False,False
1.95,False,False,False,False
2.05,False,False,False,False
2.15,False,False,False,False
2.26,False,False,False,False
2.36,False,False,False,False
2.46,False,False,False,False
2.56,False,False,False,False
2.66,False,False,False,False
2.76,False,False,False,False
2.86,False,False,False,False
2.96,False,False,False,False
3.06,False,False,False,False
3.16,False,False,False,False
3.26,False,False,False,False
3.36,False,False,False,False
3.46,False,False,False,False
3.56,False,False,False,False
3.66,False,False,False,False
3.76,False,False,False,False
3.86,False,False,False,False
3.96,False,False,False,False
4.06,False,False,False,False
4.16,False,False,False,False
4.26,False,False,False,False
4.36,False,False,False,False
4.46,False,False,False,False
4.56,False,False,False,False
4.66,False,False,False,False
4.76,True,False,False,False
4.86,True,False,False,False
4.96,True,False,False,False
5.06,True,False,False,False
5.16,True,False,False,False
5.27,True,False,False,False
5.37,True,False,False,False
5.47,True,False,False,False
5.57,True,False,False,False
5.67,True,False,False,False
5.77,True,False,False,False
5.87,True,False,False,False
5.97,True,False,False,False
6.07,True,False,False,False
6.17,True,False,False,False
6.27,True,False,False,False
6.38,True,False,False,False
6.48,True,False,False,False
6.58,True,False,False,False
6.68,True,False,False,False
6.78,False,False,False,False
6.88,False,False,False,False
6.98,False,False,False,False
7.08,False,False,False,False
7.18,False,False,False,False
7.28,False,False,False,False
7.38,False,False,False,False
7.48,False,False,False,False
7.58,False,False,False,False
7.68,False,False,False,False
7.78,False,False,False,False
7.88,False,False,False,False
7.98,False,False,False,False
8.08,False,True,False,False
8.18,False,True,False,False
8.28,False,True,False,False
8.38,False,True,False,False
8.48,False,True,False,False
8.58,False,True,False,False
8.68,False,True,False,False
8.78,False,True,False,False
8.88,False,True,False,False
8.98,False,True,False,False
9.08,False,True,False,False
9.19,False,True,False,False
9.29,False,True,False,False
9.39,False,True,False,False
9.49,False,True,False,False
9.59,False,True,False,False
9.69,False,True,False,False
9.79,False,True,False,False
9.89,False,True,False,False
9.99,False,True,False,False
10.09,False,True,False,False
10.19,False,True,False,False
10.29,False,True,False,False
10.39,False,True,False,False
10.49,False,True,False,False
10.59,False,True,False,False
10.7,False,True,False,False
10.8,False,True,False,False
10.9,False,True,False,False
11.0,False,True,False,False
11.1,False,True,False,False
11.2,False,True,False,False
11.3,False,True,False,False
11.4,False,True,False,False
11.5,False,True,False,False
11.6,False,True,False,False
11.7,False,True,False,False
11.8,False,True,False,False
11.9,False,True,False,False
12.0,False,True,False,False
12.1,False,True,False,False
12.2,False,True,False,False
12.3,False,True,False,False
12.4,False,True,False,False
12.5,False,False,False,False
12.6,False,False,False,False
12.7,False,False,False,False
12.8,False,False,False,False
12.9,False,False,False,False
13.0,False,False,False,False
13.11,False,False,False,False
13.21,False,False,False,False
13.31,False,False,False,False
13.41,False,False,False,False
13.51,False,False,False,False
13.61,False,False,False,False
13.71,True,False,False,False
13.81,True,False,False,False
13.91,True,False,False,False
14.01,True,False,False,False
14.11,True,False,False,False
14.21,True,False,False,False
14.31,True,False,False,False
14.41,True,False,False,False
14.51,True,False,False,False
14.61,True,False,False,False
14.71,True,False,False,False
14.81,True,False,False,False
14.91,True,False,False,False
15.01,True,False,False,False
15.11,True,False,False,False
15.21,True,False,False,False
15.32,True,False,False,False
15.42,False,False,False,False
15.52,False,False,False,False
15.62,False,False,False,False
15.72,False,False,False,False
15.82,False,False,False,False
15.92,False,False,False,False
16.02,False,False,False,False
16.12,False,False,False,False
16.22,False,False,False,False
16.32,False,False,False,False
16.42,False,True,False,True
16.52,False,False,False,False
16.62,False,False,False,False
16.72,False,True,False,False
16.82,False,True,False,False
16.92,False,True,False,False
17.02,False,True,False,False
17.12,False,True,False,False
17.22,False,True,False,False
17.32,False,True,False,False
17.43,False,True,False,False
17.53,False,True,False,False
17.63,False,True,False,False
17.73,False,True,False,False
17.83,False,False,False,False
17.93,False,False,False,False
18.03,False,False,False,False
18.13,False,False,False,False
18.23,False,False,False,False
18.33,False,False,False,False
18.43,False,False,False,False
